fighter_1,fighter_2,fighter_1_odds,fighter_2_odds,winner,win_method,match_date,weight_class,match_duration_minutes
Faber U.,Saenz F.,1.16,5.12,Faber U.,Decision,2015-12-13,bantamweight-ufc-men,1.0
Sterling A.,Eduardo J.,1.17,5.17,Sterling A.,Technical Knockout,2015-12-10,bantamweight-ufc-men,23.75
Guangyou N.,Beltran M.,1.6,2.32,Beltran M.,Decision,2015-11-28,bantamweight-ufc-men,10.0
Jorgensen S.,Perez A.,1.69,2.15,Perez A.,Submission,2015-11-22,bantamweight-ufc-men,1.0
Almeida T.,Birchak A.,1.22,4.32,Almeida T.,Knockout,2015-11-08,bantamweight-ufc-men,3.0
Korea B.,Nicolau M.,2.6,1.52,Nicolau M.,Submission,2015-11-07,bantamweight-ufc-men,23.5
Mizugaki T.,Roop G.,1.4,2.9,Mizugaki T.,Decision,2015-09-27,bantamweight-ufc-men,2.0
Rivera F.,Lineker J.,2.18,1.67,Lineker J.,Technical Knockout,2015-09-06,bantamweight-ufc-men,0.0
Saenz F.,Kakai S.,0.0,0.0,PTS,Decision,2015-08-09,bantamweight-ufc-men,2.0
Vieira R.,Lopes D.,3.66,1.28,Vieira R.,Decision,2015-08-02,bantamweight-ufc-men,2.0
Viana H.,Cannetti G.,1.18,4.84,Cannetti G.,Decision,2015-08-01,bantamweight-ufc-men,23.0
Cruz D.,Garbrandt C.,1.42,2.86,Garbrandt C.,Decision,2016-12-31,bantamweight-ufc-men,3.0
Faber U.,Pickett B.,1.28,3.66,Faber U.,Decision,2016-12-18,bantamweight-ufc-men,1.0
Wineland E.,Mizugaki T.,1.54,2.48,Wineland E.,Technical Knockout,2016-12-17,bantamweight-ufc-men,21.5
Gagnon M.,Lopez M.,1.7,2.15,Lopez M.,Decision,2016-12-11,bantamweight-ufc-men,1.0
Font R.,Schnell M.,1.36,3.2,Font R.,Knockout,2016-12-04,bantamweight-ufc-men,1.0
Vera M.,Guangyou N.,1.76,2.06,Vera M.,Decision,2016-11-26,bantamweight-ufc-men,23.5
Almeida T.,Morales A.,1.31,3.42,Almeida T.,Technical Knockout,2016-11-20,bantamweight-ufc-men,2.0
Munhoz P.,Scoggins J.,2.15,1.71,Munhoz P.,Submission,2016-11-20,bantamweight-ufc-men,0.0
Entwistle I.,Font R.,3.4,1.29,canc.,Cancelled,2016-10-09,bantamweight-ufc-men,0.0
Lineker J.,Dodson J.,2.12,1.73,Lineker J.,Decision,2016-10-02,bantamweight-ufc-men,3.0
Yahya R.,Tanaka M.,1.84,1.97,Yahya R.,Decision,2016-09-25,bantamweight-ufc-men,0.0
Quinonez J.,Gomez J.,2.2,1.68,Quinonez J.,Decision,2016-09-18,bantamweight-ufc-men,0.0
Perez A.,Morales A.,1.86,1.96,Draw,Draw,2016-09-17,bantamweight-ufc-men,23.0
Faber U.,Rivera J.,2.29,1.6,Rivera J.,Decision,2016-09-11,bantamweight-ufc-men,2.0
Lapilus T.,Issa L.,1.63,2.27,Lapilus T.,Decision,2016-09-03,bantamweight-ufc-men,15.75
Guangyou N.,Vera M.,0.0,0.0,canc.,Cancelled,2016-08-27,bantamweight-ufc-men,21.0
Garbrandt C.,Mizugaki T.,1.17,4.91,Garbrandt C.,Knockout,2016-08-21,bantamweight-ufc-men,0.0
Rivera F.,Perez E.,2.25,1.68,Perez E.,Decision,2016-07-31,bantamweight-ufc-men,2.0
Saenz F.,Wineland E.,1.64,2.28,Wineland E.,Technical Knockout,2016-07-23,bantamweight-ufc-men,22.0
McDonald M.,Lineker J.,2.42,1.58,Lineker J.,Knockout,2016-07-14,bantamweight-ufc-men,1.0
