fighter1,fighter2,odds1,odds2,winner,score,time,date,class
Faber U.,Saenz F.,1.16,5.12,Faber U.,PTS,01:00,13 Dec 2015,bantamweight-ufc-men
Sterling A.,Eduardo J.,1.17,5.17,Sterling A.,TKO,23:45,10 Dec 2015,bantamweight-ufc-men
Guangyou N.,Beltran M.,1.6,2.32,Beltran M.,PTS,10:00,28 Nov 2015,bantamweight-ufc-men
Jorgensen S.,Perez A.,1.69,2.15,Perez A.,SUBM,01:00,22 Nov 2015,bantamweight-ufc-men
Almeida T.,Birchak A.,1.22,4.32,Almeida T.,KO,03:00,08 Nov 2015,bantamweight-ufc-men
Korea B.,Nicolau M.,2.6,1.52,Nicolau M.,SUBM,23:30,07 Nov 2015,bantamweight-ufc-men
Mizugaki T.,Roop G.,1.4,2.9,Mizugaki T.,PTS,02:00,27 Sep 2015,bantamweight-ufc-men
Rivera F.,Lineker J.,2.18,1.67,Lineker J.,TKO,00:00,06 Sep 2015,bantamweight-ufc-men
Saenz F.,Kakai S.,,,PTS,PTS,02:00,09 Aug 2015,bantamweight-ufc-men
Vieira R.,Lopes D.,3.66,1.28,Vieira R.,PTS,02:00,02 Aug 2015,bantamweight-ufc-men
Viana H.,Cannetti G.,1.18,4.84,Cannetti G.,PTS,23:00,01 Aug 2015,bantamweight-ufc-men
Cruz D.,Garbrandt C.,1.42,2.86,Garbrandt C.,PTS,03:00,31 Dec 2016,bantamweight-ufc-men
Faber U.,Pickett B.,1.28,3.66,Faber U.,PTS,01:00,18 Dec 2016,bantamweight-ufc-men
Wineland E.,Mizugaki T.,1.54,2.48,Wineland E.,TKO,21:30,17 Dec 2016,bantamweight-ufc-men
Gagnon M.,Lopez M.,1.7,2.15,Lopez M.,PTS,01:00,11 Dec 2016,bantamweight-ufc-men
Font R.,Schnell M.,1.36,3.2,Font R.,KO,01:00,04 Dec 2016,bantamweight-ufc-men
Vera M.,Guangyou N.,1.76,2.06,Vera M.,PTS,23:30,26 Nov 2016,bantamweight-ufc-men
Almeida T.,Morales A.,1.31,3.42,Almeida T.,TKO,02:00,20 Nov 2016,bantamweight-ufc-men
Munhoz P.,Scoggins J.,2.15,1.71,Munhoz P.,SUBM,00:00,20 Nov 2016,bantamweight-ufc-men
Entwistle I.,Font R.,3.4,1.29,canc.,canc.,00:00,09 Oct 2016,bantamweight-ufc-men
Lineker J.,Dodson J.,2.12,1.73,Lineker J.,PTS,03:00,02 Oct 2016,bantamweight-ufc-men
Yahya R.,Tanaka M.,1.84,1.97,Yahya R.,PTS,00:00,25 Sep 2016,bantamweight-ufc-men
Quinonez J.,Gomez J.,2.2,1.68,Quinonez J.,PTS,00:00,18 Sep 2016,bantamweight-ufc-men
Perez A.,Morales A.,1.86,1.96,Draw,Draw,23:00,17 Sep 2016,bantamweight-ufc-men
Faber U.,Rivera J.,2.29,1.6,Rivera J.,PTS,02:00,11 Sep 2016,bantamweight-ufc-men
Lapilus T.,Issa L.,1.63,2.27,Lapilus T.,PTS,15:45,03 Sep 2016,bantamweight-ufc-men
Guangyou N.,Vera M.,,,canc.,canc.,21:00,27 Aug 2016,bantamweight-ufc-men
Garbrandt C.,Mizugaki T.,1.17,4.91,Garbrandt C.,KO,00:00,21 Aug 2016,bantamweight-ufc-men
Rivera F.,Perez E.,2.25,1.68,Perez E.,PTS,02:00,31 Jul 2016,bantamweight-ufc-men
Saenz F.,Wineland E.,1.64,2.28,Wineland E.,TKO,22:00,23 Jul 2016,bantamweight-ufc-men
McDonald M.,Lineker J.,2.42,1.58,Lineker J.,KO,01:00,14 Jul 2016,bantamweight-ufc-men
Yahya R.,Lopez M.,2.33,1.6,Yahya R.,SUBM,21:30,13 Jul 2016,bantamweight-ufc-men
Dillashaw TJ,Assuncao R.,1.22,4.44,Dillashaw TJ,PTS,00:00,10 Jul 2016,bantamweight-ufc-men
Arantes F.,Sanders J.,1.63,2.27,Arantes F.,SUBM,22:30,07 Jul 2016,bantamweight-ufc-men
Doane R.,Munhoz P.,2.8,1.43,Munhoz P.,SUBM,22:30,07 Jul 2016,bantamweight-ufc-men
Soto J.,Beal C.,1.78,2.05,Soto J.,SUBM,00:30,19 Jun 2016,bantamweight-ufc-men
Cruz D.,Faber U.,1.24,4.14,Cruz D.,PTS,03:30,05 Jun 2016,bantamweight-ufc-men
Almeida T.,Garbrandt C.,1.54,2.5,Garbrandt C.,KO,01:00,30 May 2016,bantamweight-ufc-men
Sterling A.,Caraway B.,1.26,3.8,Caraway B.,PTS,22:00,29 May 2016,bantamweight-ufc-men
Lineker J.,Font R.,1.71,2.17,Lineker J.,PTS,00:00,15 May 2016,bantamweight-ufc-men
Dodson J.,Gamburyan M.,1.18,4.84,Dodson J.,TKO,20:00,16 Apr 2016,bantamweight-ufc-men
Entwistle I.,Perez A.,1.65,2.23,Perez A.,TKO,16:00,10 Apr 2016,bantamweight-ufc-men
Grant D.,Vera M.,1.49,2.6,Grant D.,PTS,17:45,27 Feb 2016,bantamweight-ufc-men
